x;result;tay_iterations;tay_time;cfiterations;cf_time
0.0001;-9.2103404;156130;0.001376;506;9e-06
0.0002;-8.5171932;78062;0.00069;358;6e-06
0.0013;-6.645391;12004;0.000106;140;3e-06
0.0034;-5.6839798;4585;4.2e-05;87;2e-06
0.0065;-5.0359531;2395;2.2e-05;63;2e-06
0.0106;-4.5469013;1466;1.4e-05;49;1e-06
0.0157;-4.1540946;988;9e-06;40;1e-06
0.0218;-3.8258453;709;7e-06;34;0
0.0289;-3.5439137;533;5e-06;29;1e-06
0.037;-3.2968374;415;5e-06;26;0
0.0461;-3.0769423;332;3e-06;23;0
0.0562;-2.8788385;271;3e-06;21;1e-06
0.0673;-2.698595;225;3e-06;19;1e-06
0.0794;-2.5332569;190;3e-06;17;1e-06
0.0925;-2.3805466;162;2e-06;16;0
0.1066;-2.2386718;140;2e-06;15;0
0.1217;-2.1061963;121;2e-06;14;1e-06
0.1378;-1.9819519;106;2e-06;13;1e-06
0.1549;-1.8649755;94;2e-06;12;0
0.173;-1.7544637;83;1e-06;11;0
0.1921;-1.6497392;74;2e-06;11;1e-06
0.2122;-1.550226;66;1e-06;10;1e-06
0.2333;-1.4554301;60;1e-06;10;1e-06
0.2554;-1.3649243;54;1e-06;9;1e-06
0.2785;-1.2783372;49;1e-06;9;1e-06
0.3026;-1.1953435;44;1e-06;8;0
0.3277;-1.1156567;40;1e-06;8;0
0.3538;-1.0390235;37;0;7;1e-06
0.3809;-0.9652184;34;1e-06;7;0
0.409;-0.89404012;31;6e-06;7;0
0.4381;-0.82530808;28;1e-06;6;0
0.4682;-0.75885972;26;1e-06;6;0
0.4993;-0.69454816;24;1e-06;6;1e-06
0.5314;-0.63224024;22;1e-06;5;1e-06
0.5645;-0.57181489;20;1e-06;5;1e-06
0.5986;-0.51316168;18;1e-06;5;1e-06
0.6337;-0.45617962;17;1e-06;5;1e-06
0.6698;-0.40077611;15;1e-06;4;0
0.7069;-0.34686606;14;0;4;0
0.745;-0.29437105;12;1e-06;4;1e-06
0.7841;-0.24321871;11;1e-06;4;1e-06
0.8242;-0.19334206;10;0;3;0
0.8653;-0.14467901;9;1e-06;3;1e-06
0.9074;-0.097171903;7;1e-06;3;0
0.9505;-0.050767114;6;0;2;0
0.9946;-0.0054146325;4;1e-06;2;0
1.0397;0.038932209;6;1e-06;2;0
1.0858;0.08231704;7;1e-06;3;1e-06
1.1329;0.12478071;8;1e-06;3;1e-06
1.181;0.16636153;9;1e-06;3;1e-06
1.2301;0.20709546;10;1e-06;3;1e-06
1.2802;0.24701631;11;1e-06;4;1e-06
1.3313;0.2861559;12;1e-06;4;1e-06
1.3834;0.32454423;13;0;4;0
1.4365;0.36220959;14;1e-06;4;0
1.4906;0.39917872;15;1e-06;4;1e-06
1.5457;0.43547688;16;0;5;1e-06
1.6018;0.47112799;17;0;5;0
1.6589;0.50615473;18;1e-06;5;0
1.717;0.54057858;19;5e-06;5;1e-06
1.7761;0.57441994;20;1e-06;5;1e-06
1.8362;0.60769821;21;1e-06;5;1e-06
1.8973;0.64043182;22;1e-06;5;1e-06
1.9594;0.6726383;23;0;6;1e-06
2.0225;0.70433436;24;0;6;1e-06
2.0866;0.73553594;25;0;6;1e-06
2.1517;0.76625822;26;0;6;0
2.2178;0.79651571;27;1e-06;6;0
2.2849;0.82632225;28;1e-06;6;0
2.353;0.8556911;29;0;6;0
2.4221;0.88463492;30;1e-06;7;0
2.4922;0.91316584;31;1e-06;7;0
