Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,long,shorter,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shorter,light,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,long,short,lighter,FEMALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longer,short,lighter,FEMALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longest,short,lighter,MALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shorter,lighter,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longer,short,medium,MALE,class4,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,long,short,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,longer,short,medium,MALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shorter,lighter,FEMALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shortest,lighter,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,medium,shorter,lightest,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,longest,short,light,MALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,longest,medium,medium,MALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,medium,shorter,lighter,FEMALE,class3,class2
Adelie Penguin (Pygoscelis adeliae),Torgersen,shorter,long,short,lighter,FEMALE,class3,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,short,longest,short,medium,MALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,shortest,long,shorter,lighter,FEMALE,class2,class3
Adelie Penguin (Pygoscelis adeliae),Torgersen,medium,longest,short,light,MALE,class3,class3
